"P (MPa)","T (°C)","V (m3/kg)","U (kJ/kg)","H (kJ/kg)","S [kJ/(kg K)]","Phase"
2.2,85,0.001031,355.4,357.7,1.133,"liquid"
2.2,90,0.001035,376.4,378.7,1.191,"liquid"
2.2,95,0.001039,397.4,399.7,1.249,"liquid"
2.2,100,0.001042,418.4,420.7,1.306,"liquid"
2.2,105,0.001046,439.5,441.8,1.362,"liquid"
2.2,110,0.00105,460.6,462.9,1.417,"liquid"
2.2,115,0.001055,481.7,484.1,1.472,"liquid"
2.2,120,0.001059,502.9,505.2,1.526,"liquid"
2.2,125,0.001064,524.1,526.4,1.58,"liquid"
2.2,130,0.001069,545.3,547.7,1.633,"liquid"
2.2,135,0.001073,566.6,569,1.685,"liquid"
2.2,140,0.001079,588,590.4,1.737,"liquid"
2.2,145,0.001084,609.4,611.8,1.789,"liquid"
2.2,150,0.001089,630.8,633.2,1.84,"liquid"
2.2,155,0.001095,652.4,654.8,1.891,"liquid"
2.2,160,0.001101,674,676.4,1.941,"liquid"
2.2,165,0.001107,695.6,698.1,1.991,"liquid"
2.2,170,0.001113,717.4,719.9,2.04,"liquid"
2.2,175,0.00112,739.2,741.7,2.089,"liquid"
2.2,180,0.001126,761.2,763.7,2.138,"liquid"
2.2,185,0.001133,783.2,785.7,2.186,"liquid"
2.2,190,0.001141,805.4,807.9,2.234,"liquid"
2.2,195,0.001148,827.6,830.1,2.282,"liquid"
2.2,200,0.001156,850,852.5,2.33,"liquid"
2.2,210,0.001172,895.2,897.7,2.424,"liquid"
2.2,217.2,0.001185,928.3,930.9,2.492,"saturated liquid"
2.2,217.2,0.0907,2601,2800,6.304,"saturated vapor"
2.2,220,0.09159,2608,2809,6.322,"vapor"
2.2,230,0.09467,2631,2839,6.383,"vapor"
2.2,240,0.09759,2653,2868,6.438,"vapor"
2.2,250,0.1004,2674,2895,6.49,"vapor"
2.2,260,0.1031,2694,2921,6.54,"vapor"
2.2,270,0.1058,2713,2946,6.587,"vapor"
2.2,280,0.1084,2732,2971,6.632,"vapor"
2.2,290,0.1109,2751,2995,6.675,"vapor"
2.2,300,0.1134,2769,3018,6.717,"vapor"
2.2,310,0.1159,2787,3042,6.757,"vapor"
2.2,320,0.1183,2805,3065,6.797,"vapor"
2.2,330,0.1208,2822,3088,6.835,"vapor"
2.2,340,0.1231,2840,3111,6.873,"vapor"
2.2,350,0.1255,2857,3133,6.909,"vapor"
2.2,360,0.1279,2875,3156,6.945,"vapor"
2.2,370,0.1302,2892,3178,6.98,"vapor"
2.2,380,0.1325,2909,3201,7.015,"vapor"
2.2,390,0.1348,2926,3223,7.048,"vapor"
2.2,400,0.1371,2944,3245,7.082,"vapor"
2.2,410,0.1394,2961,3267,7.114,"vapor"
2.2,420,0.1416,2978,3289,7.146,"vapor"
2.2,430,0.1439,2995,3311,7.178,"vapor"
2.2,440,0.1461,3012,3334,7.209,"vapor"
2.2,450,0.1484,3029,3356,7.24,"vapor"
2.2,460,0.1506,3046,3378,7.27,"vapor"
2.2,470,0.1528,3063,3400,7.3,"vapor"
2.2,480,0.155,3081,3422,7.33,"vapor"
2.2,490,0.1573,3098,3444,7.359,"vapor"
2.2,500,0.1595,3115,3466,7.388,"vapor"
2.2,520,0.1639,3150,3510,7.444,"vapor"
2.2,540,0.1682,3185,3555,7.5,"vapor"
2.2,560,0.1726,3220,3599,7.554,"vapor"
2.2,580,0.177,3255,3644,7.607,"vapor"
2.2,600,0.1813,3290,3689,7.659,"vapor"
2.2,620,0.1856,3326,3734,7.71,"vapor"
2.2,640,0.1899,3362,3780,7.76,"vapor"
2.2,660,0.1943,3398,3825,7.81,"vapor"
2.2,680,0.1986,3434,3871,7.858,"vapor"
2.2,700,0.2029,3471,3917,7.906,"vapor"
2.2,720,0.2071,3508,3963,7.953,"vapor"
2.2,740,0.2114,3545,4010,7.999,"vapor"
2.2,760,0.2157,3582,4056,8.045,"vapor"
2.2,780,0.22,3619,4103,8.09,"vapor"
2.2,800,0.2242,3657,4151,8.134,"vapor"
2.2,820,0.2285,3695,4198,8.178,"vapor"
2.2,840,0.2328,3734,4246,8.221,"vapor"
2.2,860,0.237,3772,4294,8.264,"vapor"
2.2,880,0.2413,3811,4342,8.306,"vapor"
2.2,900,0.2455,3850,4390,8.348,"vapor"
2.2,920,0.2498,3890,4439,8.389,"vapor"
2.2,940,0.254,3929,4488,8.43,"vapor"
2.2,960,0.2582,3969,4537,8.47,"vapor"
2.2,980,0.2625,4009,4587,8.51,"vapor"
2.2,1000,0.2667,4050,4637,8.549,"vapor"
2.2,1100,0.2879,4255,4889,8.74,"vapor"
2.2,1200,0.309,4467,5147,8.921,"vapor"
2.2,1300,0.3301,4684,5410,9.094,"vapor"
2.2,1400,0.3512,4906,5679,9.26,"vapor"
2.2,1500,0.3722,5133,5952,9.418,"vapor"
2.2,1600,0.3932,5364,6229,9.571,"vapor"
2.2,1800,0.4353,5838,6796,9.858,"vapor"
2.2,2000,0.4773,6326,7377,10.13,"vapor"
2.5,0,0.0009989,0.00265,2.5,0,"liquid"
2.5,5,0.0009989,21,23.5,0.07621,"liquid"
2.5,10,0.0009992,41.96,44.46,0.1509,"liquid"
2.5,15,0.0009998,62.87,65.37,0.2241,"liquid"
2.5,20,0.001001,83.76,86.26,0.296,"liquid"
2.5,25,0.001002,104.6,107.1,0.3666,"liquid"
2.5,30,0.001003,125.5,128,0.436,"liquid"
2.5,35,0.001005,146.4,148.9,0.5043,"liquid"
2.5,40,0.001007,167.2,169.7,0.5714,"liquid"
2.5,45,0.001009,188.1,190.6,0.6376,"liquid"
2.5,50,0.001011,209,211.5,0.7027,"liquid"
2.5,55,0.001013,229.8,232.4,0.7668,"liquid"
2.5,60,0.001016,250.7,253.3,0.83,"liquid"
2.5,65,0.001019,271.6,274.2,0.8923,"liquid"
2.5,70,0.001022,292.5,295.1,0.9537,"liquid"
2.5,75,0.001025,313.5,316,1.014,"liquid"
2.5,80,0.001028,334.4,337,1.074,"liquid"
2.5,85,0.001031,355.4,357.9,1.133,"liquid"
2.5,90,0.001035,376.3,378.9,1.191,"liquid"
2.5,95,0.001038,397.3,399.9,1.249,"liquid"
2.5,100,0.001042,418.4,421,1.305,"liquid"
2.5,105,0.001046,439.4,442,1.361,"liquid"
2.5,110,0.00105,460.5,463.1,1.417,"liquid"
2.5,115,0.001055,481.6,484.3,1.472,"liquid"
2.5,120,0.001059,502.8,505.4,1.526,"liquid"
2.5,125,0.001064,524,526.6,1.579,"liquid"
2.5,130,0.001068,545.2,547.9,1.633,"liquid"
2.5,135,0.001073,566.5,569.2,1.685,"liquid"
2.5,140,0.001078,587.9,590.6,1.737,"liquid"
2.5,145,0.001084,609.3,612,1.789,"liquid"
2.5,150,0.001089,630.7,633.4,1.84,"liquid"
2.5,155,0.001095,652.2,655,1.89,"liquid"
2.5,160,0.001101,673.8,676.6,1.94,"liquid"
2.5,165,0.001107,695.5,698.3,1.99,"liquid"
2.5,170,0.001113,717.2,720,2.04,"liquid"
2.5,175,0.001119,739.1,741.9,2.089,"liquid"
2.5,180,0.001126,761,763.8,2.137,"liquid"
2.5,185,0.001133,783,785.9,2.186,"liquid"
2.5,190,0.00114,805.1,808,2.234,"liquid"
2.5,195,0.001148,827.4,830.3,2.282,"liquid"
2.5,200,0.001156,849.8,852.7,2.329,"liquid"
2.5,210,0.001172,894.9,897.8,2.424,"liquid"
2.5,220,0.00119,940.7,943.6,2.517,"liquid"
2.5,224,0.001197,958.9,961.9,2.554,"saturated liquid"
2.5,224,0.07995,2602,2802,6.256,"saturated vapor"
2.5,230,0.0817,2618,2822,6.296,"vapor"
2.5,240,0.08445,2641,2852,6.356,"vapor"
2.5,250,0.08705,2663,2881,6.411,"vapor"
2.5,260,0.08956,2684,2908,6.463,"vapor"
2.5,270,0.09199,2705,2935,6.511,"vapor"
2.5,280,0.09436,2724,2960,6.558,"vapor"
2.5,290,0.09667,2743,2985,6.603,"vapor"
2.5,300,0.09894,2762,3010,6.646,"vapor"
2.5,310,0.1012,2781,3034,6.688,"vapor"
2.5,320,0.1034,2799,3057,6.728,"vapor"
2.5,330,0.1055,2817,3081,6.767,"vapor"
2.5,340,0.1077,2835,3104,6.805,"vapor"
2.5,350,0.1098,2853,3127,6.842,"vapor"
2.5,360,0.1119,2870,3150,6.879,"vapor"
2.5,370,0.114,2888,3173,6.914,"vapor"
2.5,380,0.116,2905,3195,6.949,"vapor"
2.5,390,0.1181,2923,3218,6.983,"vapor"
2.5,400,0.1201,2940,3240,7.017,"vapor"
2.5,410,0.1222,2957,3263,7.05,"vapor"
2.5,420,0.1242,2974,3285,7.082,"vapor"
2.5,430,0.1262,2992,3307,7.114,"vapor"
2.5,440,0.1282,3009,3329,7.146,"vapor"
2.5,450,0.1302,3026,3352,7.177,"vapor"
2.5,460,0.1321,3043,3374,7.207,"vapor"
2.5,470,0.1341,3061,3396,7.237,"vapor"
2.5,480,0.1361,3078,3418,7.267,"vapor"
2.5,490,0.138,3095,3441,7.296,"vapor"
2.5,500,0.14,3113,3463,7.325,"vapor"
2.5,520,0.1439,3148,3507,7.382,"vapor"
2.5,540,0.1478,3183,3552,7.438,"vapor"
2.5,560,0.1516,3218,3597,7.492,"vapor"
2.5,580,0.1555,3253,3642,7.546,"vapor"
2.5,600,0.1593,3289,3687,7.598,"vapor"
2.5,620,0.1631,3324,3732,7.649,"vapor"
2.5,640,0.167,3360,3778,7.7,"vapor"
2.5,660,0.1708,3396,3823,7.749,"vapor"
2.5,680,0.1746,3433,3869,7.798,"vapor"
2.5,700,0.1784,3469,3915,7.846,"vapor"
2.5,720,0.1821,3506,3962,7.893,"vapor"
2.5,740,0.1859,3543,4008,7.939,"vapor"
2.5,760,0.1897,3581,4055,7.985,"vapor"
2.5,780,0.1935,3618,4102,8.03,"vapor"
2.5,800,0.1972,3656,4149,8.074,"vapor"
2.5,820,0.201,3694,4197,8.118,"vapor"
2.5,840,0.2047,3733,4245,8.162,"vapor"
2.5,860,0.2085,3771,4293,8.204,"vapor"
2.5,880,0.2122,3810,4341,8.247,"vapor"
2.5,900,0.216,3849,4389,8.288,"vapor"
2.5,920,0.2197,3889,4438,8.329,"vapor"
2.5,940,0.2235,3928,4487,8.37,"vapor"
2.5,960,0.2272,3968,4536,8.41,"vapor"
2.5,980,0.2309,4008,4586,8.45,"vapor"
2.5,1000,0.2347,4049,4636,8.49,"vapor"
2.5,1100,0.2533,4255,4888,8.68,"vapor"
2.5,1200,0.2719,4466,5146,8.862,"vapor"
2.5,1300,0.2905,4683,5410,9.035,"vapor"
2.5,1400,0.309,4906,5678,9.2,"vapor"
2.5,1500,0.3276,5132,5951,9.359,"vapor"
2.5,1600,0.3461,5364,6229,9.511,"vapor"
2.5,1800,0.3831,5838,6796,9.799,"vapor"
2.5,2000,0.4201,6326,7376,10.07,"vapor"
3,0,0.0009987,0.01393,3.01,0.00003,"liquid"
3,5,0.0009986,21,24,0.07619,"liquid"
3,10,0.0009989,41.94,44.94,0.1508,"liquid"
3,15,0.0009996,62.85,65.85,0.224,"liquid"
3,20,0.001,83.73,86.73,0.2959,"liquid"
3,25,0.001002,104.6,107.6,0.3665,"liquid"
3,30,0.001003,125.5,128.5,0.4358,"liquid"
3,35,0.001005,146.3,149.3,0.5041,"liquid"
3,40,0.001007,167.2,170.2,0.5712,"liquid"
3,45,0.001009,188,191.1,0.6373,"liquid"
3,50,0.001011,208.9,211.9,0.7024,"liquid"
3,55,0.001013,229.8,232.8,0.7665,"liquid"
3,60,0.001016,250.6,253.7,0.8297,"liquid"
3,65,0.001019,271.5,274.6,0.892,"liquid"
3,70,0.001021,292.4,295.5,0.9534,"liquid"
3,75,0.001024,313.3,316.4,1.014,"liquid"
3,80,0.001028,334.3,337.4,1.074,"liquid"
3,85,0.001031,355.2,358.3,1.133,"liquid"
3,90,0.001035,376.2,379.3,1.191,"liquid"
3,95,0.001038,397.2,400.3,1.248,"liquid"
3,100,0.001042,418.2,421.3,1.305,"liquid"
3,105,0.001046,439.3,442.4,1.361,"liquid"
3,110,0.00105,460.3,463.5,1.416,"liquid"
3,115,0.001054,481.5,484.6,1.471,"liquid"
3,120,0.001059,502.6,505.8,1.525,"liquid"
3,125,0.001063,523.8,527,1.579,"liquid"
3,130,0.001068,545,548.2,1.632,"liquid"
3,135,0.001073,566.3,569.5,1.685,"liquid"
3,140,0.001078,587.6,590.9,1.737,"liquid"
3,145,0.001083,609,612.3,1.788,"liquid"
3,150,0.001089,630.5,633.7,1.839,"liquid"
3,155,0.001094,652,655.3,1.89,"liquid"
3,160,0.0011,673.6,676.9,1.94,"liquid"
3,165,0.001106,695.2,698.5,1.99,"liquid"
3,170,0.001113,717,720.3,2.039,"liquid"
3,175,0.001119,738.8,742.1,2.088,"liquid"
3,180,0.001126,760.7,764.1,2.137,"liquid"
3,185,0.001133,782.7,786.1,2.185,"liquid"
3,190,0.00114,804.8,808.2,2.233,"liquid"
3,195,0.001147,827,830.5,2.281,"liquid"
3,200,0.001155,849.4,852.9,2.328,"liquid"
3,210,0.001171,894.5,898,2.423,"liquid"
3,220,0.001189,940.2,943.8,2.516,"liquid"
3,230,0.001209,986.6,990.2,2.61,"liquid"
3,233.9,0.001217,1005,1008,2.646,"saturated liquid"
3,233.9,0.06666,2603,2803,6.186,"saturated vapor"
3,240,0.06823,2620,2825,6.227,"vapor"
3,250,0.07063,2645,2857,6.289,"vapor"
3,260,0.0729,2668,2886,6.346,"vapor"
3,270,0.07507,2690,2915,6.399,"vapor"
3,280,0.07716,2711,2942,6.449,"vapor"
3,290,0.0792,2731,2969,6.496,"vapor"
3,300,0.08118,2751,2994,6.541,"vapor"
3,310,0.08312,2770,3020,6.585,"vapor"
3,320,0.08502,2789,3044,6.627,"vapor"
3,330,0.08689,2808,3068,6.667,"vapor"
3,340,0.08874,2826,3092,6.707,"vapor"
3,350,0.09056,2844,3116,6.745,"vapor"
3,360,0.09236,2862,3140,6.782,"vapor"
3,370,0.09413,2880,3163,6.819,"vapor"
3,380,0.0959,2898,3186,6.854,"vapor"
3,390,0.09765,2916,3209,6.889,"vapor"
3,400,0.09938,2934,3232,6.923,"vapor"
3,410,0.1011,2951,3254,6.957,"vapor"
3,420,0.1028,2969,3277,6.99,"vapor"
3,430,0.1045,2986,3300,7.022,"vapor"
3,440,0.1062,3004,3322,7.054,"vapor"
3,450,0.1079,3021,3345,7.086,"vapor"
3,460,0.1096,3039,3367,7.117,"vapor"
3,470,0.1112,3056,3390,7.147,"vapor"
3,480,0.1129,3074,3412,7.177,"vapor"
3,490,0.1146,3091,3435,7.207,"vapor"
3,500,0.1162,3109,3457,7.236,"vapor"
3,520,0.1195,3144,3502,7.293,"vapor"
3,540,0.1227,3179,3547,7.349,"vapor"
3,560,0.126,3214,3592,7.404,"vapor"
3,580,0.1292,3250,3638,7.458,"vapor"
3,600,0.1325,3285,3683,7.51,"vapor"
3,620,0.1357,3321,3728,7.562,"vapor"
3,640,0.1389,3357,3774,7.612,"vapor"
3,660,0.1421,3394,3820,7.662,"vapor"
3,680,0.1452,3430,3866,7.711,"vapor"
3,700,0.1484,3467,3912,7.759,"vapor"
3,720,0.1516,3504,3959,7.806,"vapor"
3,740,0.1547,3541,4005,7.853,"vapor"
3,760,0.1579,3579,4052,7.899,"vapor"
3,780,0.1611,3616,4100,7.944,"vapor"
3,800,0.1642,3654,4147,7.989,"vapor"
3,820,0.1673,3693,4195,8.033,"vapor"
3,840,0.1705,3731,4242,8.076,"vapor"
3,860,0.1736,3770,4291,8.119,"vapor"
3,880,0.1768,3809,4339,8.161,"vapor"
3,900,0.1799,3848,4388,8.203,"vapor"
3,920,0.183,3887,4436,8.244,"vapor"
3,940,0.1861,3927,4485,8.285,"vapor"
3,960,0.1893,3967,4535,8.325,"vapor"
3,980,0.1924,4007,4584,8.365,"vapor"
3,1000,0.1955,4048,4634,8.405,"vapor"
3,1100,0.2111,4254,4887,8.596,"vapor"
3,1200,0.2266,4465,5145,8.777,"vapor"
3,1300,0.2421,4683,5409,8.95,"vapor"
3,1400,0.2576,4905,5678,9.116,"vapor"
3,1500,0.273,5132,5951,9.275,"vapor"
3,1600,0.2885,5363,6229,9.427,"vapor"
3,1800,0.3193,5838,6796,9.715,"vapor"
3,2000,0.3502,6326,7376,9.982,"vapor"
3.5,0,0.0009984,0.01546,3.51,0.00006,"liquid"
3.5,5,0.0009984,21.01,24.5,0.07618,"liquid"
3.5,10,0.0009987,41.93,45.43,0.1508,"liquid"
3.5,15,0.0009993,62.82,66.32,0.2239,"liquid"
3.5,20,0.001,83.7,87.2,0.2958,"liquid"
3.5,25,0.001001,104.6,108.1,0.3663,"liquid"
3.5,30,0.001003,125.4,128.9,0.4357,"liquid"
3.5,35,0.001004,146.3,149.8,0.5039,"liquid"
3.5,40,0.001006,167.1,170.6,0.571,"liquid"
3.5,45,0.001008,188,191.5,0.6371,"liquid"
3.5,50,0.001011,208.8,212.4,0.7022,"liquid"
3.5,55,0.001013,229.7,233.2,0.7663,"liquid"
3.5,60,0.001016,250.5,254.1,0.8295,"liquid"
3.5,65,0.001018,271.4,275,0.8917,"liquid"
3.5,70,0.001021,292.3,295.9,0.9531,"liquid"
3.5,75,0.001024,313.2,316.8,1.014,"liquid"
3.5,80,0.001027,334.2,337.8,1.073,"liquid"
3.5,85,0.001031,355.1,358.7,1.132,"liquid"
3.5,90,0.001034,376.1,379.7,1.19,"liquid"
3.5,95,0.001038,397.1,400.7,1.248,"liquid"
3.5,100,0.001042,418.1,421.7,1.305,"liquid"
3.5,105,0.001046,439.1,442.8,1.361,"liquid"
3.5,110,0.00105,460.2,463.9,1.416,"liquid"
3.5,115,0.001054,481.3,485,1.471,"liquid"
3.5,120,0.001058,502.4,506.1,1.525,"liquid"
3.5,125,0.001063,523.6,527.3,1.579,"liquid"
3.5,130,0.001068,544.8,548.6,1.632,"liquid"
3.5,135,0.001073,566.1,569.9,1.684,"liquid"
3.5,140,0.001078,587.4,591.2,1.736,"liquid"
3.5,145,0.001083,608.8,612.6,1.787,"liquid"
3.5,150,0.001088,630.2,634.1,1.838,"liquid"
3.5,155,0.001094,651.7,655.6,1.889,"liquid"
3.5,160,0.0011,673.3,677.2,1.939,"liquid"
3.5,165,0.001106,694.9,698.8,1.989,"liquid"
3.5,170,0.001112,716.7,720.6,2.038,"liquid"
3.5,175,0.001119,738.5,742.4,2.087,"liquid"
3.5,180,0.001125,760.4,764.3,2.136,"liquid"
3.5,185,0.001132,782.4,786.3,2.184,"liquid"
3.5,190,0.001139,804.5,808.5,2.232,"liquid"
3.5,195,0.001147,826.7,830.7,2.28,"liquid"
3.5,200,0.001155,849,853.1,2.328,"liquid"
3.5,210,0.001171,894.1,898.2,2.422,"liquid"
3.5,220,0.001189,939.7,943.9,2.516,"liquid"
3.5,230,0.001208,986.1,990.3,2.609,"liquid"
3.5,240,0.001229,1033,1038,2.702,"liquid"
3.5,242.6,0.001235,1045,1050,2.725,"saturated liquid"
3.5,242.6,0.05706,2603,2803,6.124,"saturated vapor"
3.5,250,0.05876,2624,2830,6.176,"vapor"
3.5,260,0.06089,2650,2863,6.239,"vapor"
3.5,270,0.0629,2674,2894,6.297,"vapor"
3.5,280,0.06482,2696,2923,6.35,"vapor"
3.5,290,0.06666,2718,2951,6.401,"vapor"
3.5,300,0.06845,2739,2978,6.448,"vapor"
3.5,310,0.07019,2759,3005,6.494,"vapor"
3.5,320,0.07189,2779,3031,6.538,"vapor"
3.5,330,0.07356,2798,3056,6.58,"vapor"
3.5,340,0.07519,2817,3080,6.621,"vapor"
3.5,350,0.0768,2836,3105,6.66,"vapor"
3.5,360,0.07839,2855,3129,6.698,"vapor"
3.5,370,0.07996,2873,3153,6.736,"vapor"
3.5,380,0.08151,2891,3176,6.772,"vapor"
3.5,390,0.08304,2909,3200,6.808,"vapor"
3.5,400,0.08456,2927,3223,6.843,"vapor"
3.5,410,0.08606,2945,3246,6.877,"vapor"
3.5,420,0.08756,2963,3269,6.91,"vapor"
3.5,430,0.08904,2981,3292,6.943,"vapor"
3.5,440,0.09051,2998,3315,6.976,"vapor"
3.5,450,0.09198,3016,3338,7.007,"vapor"
3.5,460,0.09344,3034,3361,7.039,"vapor"
3.5,470,0.09489,3052,3384,7.07,"vapor"
3.5,480,0.09633,3069,3406,7.1,"vapor"
3.5,490,0.09776,3087,3429,7.13,"vapor"
3.5,500,0.0992,3104,3452,7.159,"vapor"
3.5,520,0.102,3140,3497,7.217,"vapor"
3.5,540,0.1049,3175,3542,7.274,"vapor"
3.5,560,0.1077,3211,3588,7.329,"vapor"
3.5,580,0.1105,3247,3633,7.383,"vapor"
3.5,600,0.1133,3283,3679,7.436,"vapor"
3.5,620,0.116,3319,3725,7.487,"vapor"
3.5,640,0.1188,3355,3771,7.538,"vapor"
3.5,660,0.1215,3391,3817,7.588,"vapor"
3.5,680,0.1243,3428,3863,7.637,"vapor"
3.5,700,0.127,3465,3909,7.685,"vapor"
3.5,720,0.1298,3502,3956,7.733,"vapor"
3.5,740,0.1325,3539,4003,7.78,"vapor"
3.5,760,0.1352,3577,4050,7.826,"vapor"
3.5,780,0.1379,3614,4097,7.871,"vapor"
3.5,800,0.1406,3652,4145,7.916,"vapor"
3.5,820,0.1433,3691,4192,7.96,"vapor"
3.5,840,0.146,3729,4240,8.003,"vapor"
3.5,860,0.1487,3768,4289,8.046,"vapor"
3.5,880,0.1514,3807,4337,8.089,"vapor"
3.5,900,0.1541,3846,4386,8.13,"vapor"
3.5,920,0.1568,3886,4435,8.172,"vapor"
3.5,940,0.1595,3926,4484,8.213,"vapor"
3.5,960,0.1622,3966,4533,8.253,"vapor"
3.5,980,0.1648,4006,4583,8.293,"vapor"
3.5,1000,0.1675,4046,4633,8.332,"vapor"
3.5,1100,0.1809,4253,4886,8.524,"vapor"
3.5,1200,0.1942,4464,5144,8.705,"vapor"
3.5,1300,0.2075,4682,5408,8.879,"vapor"
3.5,1400,0.2208,4904,5677,9.044,"vapor"
3.5,1500,0.234,5131,5950,9.203,"vapor"
3.5,1600,0.2473,5363,6228,9.356,"vapor"
3.5,1800,0.2738,5837,6796,9.643,"vapor"
3.5,2000,0.3002,6325,7376,9.911,"vapor"
4,0,0.0009982,0.02724,4.02,0.00009,"liquid"
4,5,0.0009981,21,24.99,0.07617,"liquid"
4,10,0.0009984,41.92,45.91,0.1507,"liquid"
4,15,0.0009991,62.8,66.8,0.2239,"liquid"
4,20,0.001,83.67,87.67,0.2956,"liquid"
4,25,0.001001,104.5,108.5,0.3662,"liquid"
4,30,0.001003,125.4,129.4,0.4355,"liquid"
4,35,0.001004,146.2,150.2,0.5037,"liquid"
4,40,0.001006,167,171.1,0.5709,"liquid"
4,45,0.001008,187.9,191.9,0.6369,"liquid"
4,50,0.00101,208.7,212.8,0.702,"liquid"
4,55,0.001013,229.6,233.6,0.766,"liquid"
4,60,0.001015,250.5,254.5,0.8292,"liquid"
4,65,0.001018,271.3,275.4,0.8914,"liquid"
4,70,0.001021,292.2,296.3,0.9528,"liquid"
4,75,0.001024,313.1,317.2,1.013,"liquid"
4,80,0.001027,334.1,338.2,1.073,"liquid"
4,85,0.001031,355,359.1,1.132,"liquid"
4,90,0.001034,375.9,380.1,1.19,"liquid"
4,95,0.001038,396.9,401.1,1.248,"liquid"
4,100,0.001041,417.9,422.1,1.304,"liquid"
4,105,0.001045,439,443.2,1.36,"liquid"
4,110,0.00105,460,464.2,1.416,"liquid"
4,115,0.001054,481.1,485.3,1.47,"liquid"
4,120,0.001058,502.3,506.5,1.525,"liquid"
4,125,0.001063,523.4,527.7,1.578,"liquid"
4,130,0.001068,544.6,548.9,1.631,"liquid"
4,135,0.001072,565.9,570.2,1.684,"liquid"
4,140,0.001077,587.2,591.5,1.735,"liquid"
4,145,0.001083,608.6,612.9,1.787,"liquid"
4,150,0.001088,630,634.4,1.838,"liquid"
4,155,0.001094,651.5,655.9,1.888,"liquid"
4,160,0.0011,673.1,677.5,1.939,"liquid"
4,165,0.001106,694.7,699.1,1.988,"liquid"
4,170,0.001112,716.4,720.8,2.038,"liquid"
4,175,0.001118,738.2,742.7,2.087,"liquid"
4,180,0.001125,760.1,764.6,2.135,"liquid"
4,185,0.001132,782.1,786.6,2.184,"liquid"
4,190,0.001139,804.1,808.7,2.232,"liquid"
4,195,0.001146,826.3,830.9,2.279,"liquid"
4,200,0.001154,848.7,853.3,2.327,"liquid"
4,210,0.00117,893.7,898.4,2.421,"liquid"
4,220,0.001188,939.3,944,2.515,"liquid"
4,230,0.001207,985.6,990.4,2.608,"liquid"
4,240,0.001228,1033,1038,2.701,"liquid"
4,250,0.001252,1081,1086,2.794,"liquid"
4,250.4,0.001253,1082,1088,2.797,"saturated liquid"
4,250.4,0.04978,2602,2801,6.07,"saturated vapor"
4,260,0.05178,2630,2837,6.138,"vapor"
4,270,0.05369,2656,2871,6.202,"vapor"
4,280,0.0555,2681,2903,6.26,"vapor"
4,290,0.05722,2704,2933,6.313,"vapor"
4,300,0.05887,2726,2962,6.364,"vapor"
4,310,0.06047,2748,2989,6.412,"vapor"
4,320,0.06202,2768,3016,6.458,"vapor"
4,330,0.06354,2788,3043,6.501,"vapor"
4,340,0.06502,2808,3068,6.544,"vapor"
4,350,0.06647,2827,3093,6.584,"vapor"
4,360,0.0679,2846,3118,6.624,"vapor"
4,370,0.06931,2865,3143,6.662,"vapor"
4,380,0.0707,2884,3167,6.699,"vapor"
4,390,0.07207,2902,3191,6.736,"vapor"
4,400,0.07343,2921,3215,6.771,"vapor"
4,410,0.07478,2939,3238,6.806,"vapor"
4,420,0.07611,2957,3262,6.84,"vapor"
4,430,0.07743,2975,3285,6.874,"vapor"
4,440,0.07874,2993,3308,6.906,"vapor"
4,450,0.08004,3011,3331,6.939,"vapor"
4,460,0.08134,3029,3354,6.97,"vapor"
4,470,0.08262,3047,3377,7.002,"vapor"
4,480,0.0839,3065,3400,7.032,"vapor"
4,490,0.08518,3082,3423,7.062,"vapor"
4,500,0.08644,3100,3446,7.092,"vapor"
4,520,0.08896,3136,3492,7.151,"vapor"
4,540,0.09146,3172,3538,7.208,"vapor"
4,560,0.09394,3207,3583,7.263,"vapor"
4,580,0.09641,3243,3629,7.317,"vapor"
4,600,0.09886,3279,3675,7.371,"vapor"
4,620,0.1013,3316,3721,7.423,"vapor"
4,640,0.1037,3352,3767,7.474,"vapor"
4,660,0.1062,3389,3813,7.524,"vapor"
4,680,0.1086,3425,3860,7.573,"vapor"
4,700,0.111,3462,3906,7.621,"vapor"
4,720,0.1134,3500,3953,7.669,"vapor"
4,740,0.1158,3537,4000,7.716,"vapor"
4,760,0.1182,3575,4047,7.762,"vapor"
4,780,0.1205,3613,4095,7.807,"vapor"
4,800,0.1229,3651,4142,7.852,"vapor"
4,820,0.1253,3689,4190,7.896,"vapor"
4,840,0.1277,3728,4238,7.94,"vapor"
4,860,0.13,3766,4287,7.983,"vapor"
4,880,0.1324,3806,4335,8.026,"vapor"
4,900,0.1348,3845,4384,8.067,"vapor"
4,920,0.1371,3884,4433,8.109,"vapor"
4,940,0.1395,3924,4482,8.15,"vapor"
4,960,0.1418,3964,4532,8.19,"vapor"
4,980,0.1442,4005,4581,8.23,"vapor"
4,1000,0.1465,4045,4631,8.27,"vapor"
4,1100,0.1582,4251,4884,8.461,"vapor"
4,1200,0.1699,4463,5143,8.643,"vapor"
4,1300,0.1816,4681,5407,8.816,"vapor"
4,1400,0.1932,4904,5676,8.982,"vapor"
4,1500,0.2048,5131,5950,9.141,"vapor"
4,1600,0.2164,5362,6228,9.294,"vapor"
4,1800,0.2396,5837,6795,9.581,"vapor"
4,2000,0.2627,6325,7376,9.849,"vapor"
4.5,0,0.0009979,0.03932,4.53,0.00011,"liquid"
